feature,importance
num__src_bytes,0.17951396245723383
num__dst_bytes,0.08266473610678622
cat__flag_SF,0.07568327956801156
num__dst_host_srv_count,0.06706185709963518
num__dst_host_same_srv_rate,0.06570052174183959
num__logged_in,0.06234843702984581
num__dst_host_srv_serror_rate,0.030168600232280966
cat__protocol_type_icmp,0.027910917550368407
num__count,0.026646108090545198
cat__service_http,0.02574194461411798
num__same_srv_rate,0.025404241794951044
num__diff_srv_rate,0.024928960712934944
num__dst_host_same_src_port_rate,0.02293663583748228
cat__flag_S0,0.022732624759341392
num__dst_host_diff_srv_rate,0.022507344520998285
num__dst_host_srv_diff_host_rate,0.021759583015992026
num__dst_host_serror_rate,0.020009015749453976
cat__service_private,0.019192173825321006
num__dst_host_rerror_rate,0.01672394065134125
num__serror_rate,0.015417557289700092
cat__service_ecr_i,0.0136764390903796
num__dst_host_count,0.01306155782493625
cat__service_eco_i,0.012510025175076678
num__srv_count,0.012406349602585676
num__rerror_rate,0.010637214562537125
